Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.103205	0.449127	96.988686	91.949564	
0.001000	0.106741	0.444821	96.936466	91.658584	
0.001000	0.097601	0.455668	97.006092	91.852570	
0.001000	0.095764	0.418497	97.249782	92.531523	
0.001000	0.101713	0.455889	97.110531	91.173618	
0.001000	0.102852	0.455762	96.866841	91.367604	
0.001000	0.097947	0.448816	97.232376	91.367604	
0.001000	0.080499	0.437190	97.684943	91.561591	
0.001000	0.086636	0.452166	97.214970	91.270611	
0.001000	0.089976	0.454464	97.406440	91.755577	
0.001000	0.088570	0.447543	97.423847	91.949564	
0.001000	0.089203	0.425472	97.284595	91.755577	
0.001000	0.088273	0.427159	97.528285	91.658584	
0.001000	0.088586	0.455498	97.423847	90.979631	
0.001000	0.088033	0.445197	97.336815	91.464597	
0.001000	0.074888	0.428401	97.998259	91.658584	
0.001000	0.089696	0.445165	97.406440	91.173618	
0.001000	0.092702	0.442030	97.180157	91.367604	
0.001000	0.079967	0.443730	97.684943	92.046557	
0.001000	0.079605	0.467366	97.789382	91.561591	
0.001000	0.087617	0.485122	97.389034	91.076625	
0.001000	0.082980	0.460222	97.789382	91.561591	
0.001000	0.073822	0.443907	97.946040	91.949564	
0.001000	0.077036	0.486827	97.737163	90.882638	
0.001000	0.066171	0.454454	98.189730	90.979631	
0.001000	0.077193	0.479562	97.737163	91.464597	
0.001000	0.075250	0.451571	97.789382	91.755577	
0.001000	0.081711	0.458339	97.859008	91.561591	
0.001000	0.074722	0.491950	97.980853	91.367604	
0.001000	0.078860	0.489511	97.824195	91.561591	
0.001000	0.067553	0.480675	98.085292	91.658584	
0.001000	0.071537	0.471020	97.946040	91.755577	
0.001000	0.073549	0.457033	98.015666	91.464597	
0.001000	0.065320	0.474583	98.207137	91.464597	
0.001000	0.072946	0.459453	98.033072	92.046557	
0.001000	0.072263	0.467532	97.859008	91.852570	
0.001000	0.075795	0.450471	97.859008	91.755577	
0.001000	0.057478	0.470324	98.207137	91.852570	
0.001000	0.078251	0.472193	97.928634	91.367604	
0.001000	0.060912	0.475069	98.346388	91.658584	
0.001000	0.072015	0.458793	97.684943	91.755577	
0.001000	0.074506	0.459137	97.893821	91.561591	
0.001000	0.075380	0.495392	97.963446	90.785645	
0.001000	0.066694	0.461524	98.050479	91.270611	
0.001000	0.068748	0.484525	97.998259	91.464597	
0.001000	0.068661	0.460143	97.928634	91.755577	
0.001000	0.066994	0.462501	97.963446	91.852570	
0.001000	0.075283	0.490679	97.806789	91.270611	
0.001000	0.059330	0.483043	98.276762	92.337536	
0.001000	0.055361	0.480634	98.450827	91.755577	
0.001000	0.067640	0.466208	98.207137	91.561591	
0.001000	0.066595	0.458816	98.102698	92.143550	
0.001000	0.068718	0.457362	97.980853	91.658584	
0.001000	0.069191	0.470029	97.998259	91.658584	
0.001000	0.060204	0.454608	98.294169	91.949564	
0.001000	0.066113	0.463561	98.154917	92.143550	
0.001000	0.069537	0.491913	98.120104	91.076625	
0.001000	0.071483	0.457931	98.154917	91.658584	
0.001000	0.065725	0.438352	98.120104	92.240543	
0.001000	0.059025	0.463637	98.294169	91.270611	
0.001000	0.066352	0.443844	98.120104	92.240543	
0.001000	0.064220	0.486877	98.276762	90.882638	
0.001000	0.064016	0.443400	98.172324	91.658584	
0.001000	0.060847	0.474991	98.468233	91.755577	
0.001000	0.066443	0.493776	98.311575	91.367604	
0.001000	0.059317	0.464867	98.363795	91.367604	
0.001000	0.063499	0.483966	98.207137	91.852570	
0.001000	0.057706	0.453334	98.416014	91.755577	
0.001000	0.058440	0.434144	98.450827	91.949564	
0.001000	0.052770	0.444285	98.537859	91.658584	
0.001000	0.065045	0.460131	98.207137	91.852570	
0.001000	0.057596	0.456942	98.450827	91.949564	
0.001000	0.053923	0.458883	98.555265	92.240543	
0.001000	0.054689	0.503334	98.346388	92.046557	
0.001000	0.052517	0.496312	98.398607	91.561591	
0.001000	0.051566	0.494522	98.503046	91.755577	
0.001000	0.052694	0.488470	98.520453	92.337536	
0.001000	0.064143	0.540498	98.102698	91.076625	
0.001000	0.057107	0.485988	98.033072	90.785645	
0.001000	0.051533	0.487582	98.607485	92.046557	
0.001000	0.061656	0.504087	98.311575	91.561591	
0.001000	0.060487	0.500884	98.259356	91.852570	
0.001000	0.061779	0.515798	98.259356	91.852570	
0.001000	0.060212	0.474895	98.346388	92.240543	
0.001000	0.056527	0.498493	98.485640	91.367604	
0.001000	0.061839	0.502831	98.311575	91.270611	
0.001000	0.058577	0.484916	98.363795	91.658584	
0.001000	0.052954	0.463178	98.590078	91.561591	
0.001000	0.061835	0.452827	98.189730	92.046557	
0.001000	0.052253	0.479503	98.485640	91.852570	
0.001000	0.067622	0.475352	98.189730	92.046557	
