Best Acc	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
85.861738	0.076009	1.035580	97.712514	85.189630	
85.861738	0.079441	0.967518	97.446871	85.693711	
85.861738	0.083816	1.111007	97.446871	84.733557	
85.861738	0.072523	1.003459	97.963400	84.733557	
85.861738	0.080756	1.053838	97.579692	84.901584	
85.861738	0.083015	1.005186	97.550176	85.333653	
85.861738	0.088252	1.061521	97.461629	84.661546	
85.861738	0.074031	1.057339	97.756788	85.333653	
85.861738	0.071122	1.066072	97.919126	84.781565	
85.861738	0.078987	1.052500	97.638724	85.333653	
85.861738	0.085740	1.008091	97.535418	85.525684	
85.861738	0.078555	1.061452	97.564934	84.397504	
85.861738	0.082092	1.033924	97.520660	84.733557	
85.861738	0.083666	1.023124	97.520660	85.333653	
85.861738	0.070752	1.010878	97.830578	85.261642	
85.861738	0.078680	1.007536	97.756788	84.781565	
85.861738	0.077132	0.927371	97.697756	84.373500	
85.861738	0.064594	1.052569	98.170011	83.677388	
85.861738	0.079005	0.961143	97.771546	84.877580	
85.861738	0.070193	0.948518	97.963400	85.141623	
85.861738	0.075464	1.022724	97.727272	84.469515	
85.861738	0.071679	1.008139	97.963400	85.261642	
85.861738	0.073402	0.974912	97.801062	85.693711	
85.861738	0.079966	1.018413	97.786304	84.829573	
85.861738	0.071600	1.024969	97.786304	84.733557	
85.861738	0.072651	1.070102	97.948642	84.085454	
85.861738	0.077148	0.962042	97.712514	85.213634	
85.861738	0.070202	0.932899	98.022432	85.333653	
85.861738	0.074927	0.989382	97.727272	84.853577	
85.861738	0.063886	0.962203	98.170011	84.877580	
85.861738	0.064768	0.898987	98.066705	85.621699	
85.861738	0.079535	0.949011	97.653482	84.925588	
85.861738	0.078245	1.039233	97.682998	84.637542	
85.861738	0.068424	1.027522	97.992916	84.997600	
85.861738	0.072809	0.998963	97.815820	84.949592	
85.861738	0.070240	1.022857	97.860094	85.525684	
85.861738	0.075362	0.953658	97.815820	84.829573	
85.861738	0.066376	0.933756	97.948642	85.045607	
85.861738	0.072895	1.003249	97.948642	84.709554	
85.861738	0.072241	0.937367	97.992916	85.453673	
85.861738	0.070086	1.079748	97.978158	83.773404	
85.861738	0.074301	1.045422	97.933884	84.541527	
85.861738	0.064891	0.999745	98.170011	85.213634	
85.861738	0.070082	1.049122	97.933884	85.381661	
85.861738	0.070386	1.005153	97.963400	84.997600	
85.861738	0.070548	1.051369	97.786304	84.085454	
85.861738	0.066813	1.046255	98.007674	85.549688	
85.861738	0.065352	1.012721	98.037190	85.669707	
85.861738	0.070667	1.035883	97.860094	85.141623	
85.861738	0.072207	1.028868	97.933884	84.757561	
85.861738	0.076139	1.021554	97.682998	85.141623	
85.861738	0.063310	1.001207	98.170011	85.573692	
85.861738	0.075066	1.024330	97.771546	85.213634	
